"","C5_r","C5_decay","C5_0","C5_in","C5_inputtime","C5_RMSE","C4_index","C5_index","C4_r","C4_decay","C4_0","C4_in","C4_inputtime","C4_RMSE","C3_index","C3_r","C3_decay","C3_0","C3_in","C3_inputtime","C3_RMSE","C2_index","C2_r","C2_decay","C2_0","C2_in","C2_inputtime","C2_RMSE","C1_index","C1_r","C1_decay","C1_0","C1_in","C1_inputtime","C1_RMSE","sumRMSE","index","time","C1","C2","C3","C4","C5"
"42",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,820,21.7658019337346,30.0268310677896,17.2213193438696,17.7735689516009,16.7157163467428
"43",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,840,21.3392443953454,29.9148012341144,17.1770285658128,17.8252023438037,16.7867344802923
"44",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,860,20.9210463621153,29.8031893827299,17.1327224285012,17.8761315047188,16.8579113190077
"45",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,880,20.5110440077836,29.6919939541481,17.0884026233181,17.9263604326167,16.9292424182059
"46",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,900,20.1090767166914,29.5812133946991,17.0440708205522,17.9758931175529,17.0007233655965
"47",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,920,19.7149870208619,29.4708461565101,16.9997286696092,18.0247335412261,17.0723497811681
"48",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,940,19.328620538313,29.3608906974832,16.9553777992226,18.0728856768383,17.1441173170739
"49",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,960,18.9498259125793,29.2513454812741,16.9110198176624,18.120353488959,17.2160216575169
"50",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,980,18.5784547534195,29.1422089772706,16.8666563129413,18.1671409333908,17.2880585186344
"51",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,1000,18.2143615786852,29.0334796605711,16.8222888530194,18.2132519570383,17.3602236483818
